This file contains mapping from common api tags to language-specific tags
See https://github.com/ZettaScaleLabs/zenoh-tests/tree/tagging/api_matrix for details.

Tag,zenoh,zenoh-c
c.z_subscriber_keyexpr,,src/subscriber.rs:174:18
c.z_subscriber_loan,,src/subscriber.rs:80:18
c.z_subscriber_null,,src/subscriber.rs:73:18
c.z_subscriber_options_default,,src/subscriber.rs:98:18
c.z_subscriber_options_t,,src/subscriber.rs:92:11
c.z_subscriber_pull,,src/pull_subscriber.rs:208:18
c.z_task_attr_t,,src/platform/synchronization.rs:177:11
c.z_task_check,,src/platform/synchronization.rs:206:18
c.z_task_detach,,src/platform/synchronization.rs:187:18
c.z_task_init,,src/platform/synchronization.rs:225:25
c.z_task_join,,src/platform/synchronization.rs:193:18
c.z_task_null,,src/platform/synchronization.rs:180:18
c.z_time_elapsed_ms,,src/platform/clock.rs:119:25
c.z_time_elapsed_s,,src/platform/clock.rs:113:25
c.z_time_elapsed_us,,src/platform/clock.rs:125:25
c.z_time_now,,src/platform/clock.rs:90:18
c.z_time_now_as_str,,src/platform/clock.rs:78:25
c.z_time_t,,src/platform/clock.rs:72:11
c.z_timestamp_get_id,,src/commons.rs:84:18
c.z_timestamp_npt64_time,,src/commons.rs:79:18
c.z_timestamp_t,,src/opaque_types/mod.rs:298:11
c.z_undeclare_keyexpr,,src/keyexpr.rs:434:18
c.z_undeclare_publisher,,src/publisher.rs:318:18
c.z_undeclare_pull_subscriber,,src/pull_subscriber.rs:177:18
c.z_undeclare_queryable,,src/queryable.rs:181:18
c.z_undeclare_subscriber,,src/subscriber.rs:182:18
c.z_value_encoding,,src/commons.rs:291:18
c.z_value_payload,,src/commons.rs:286:18
c.z_view_keyexpr_check,,src/keyexpr.rs:172:18
c.z_view_keyexpr_from_slice,,src/keyexpr.rs:243:25
c.z_view_keyexpr_from_slice_autocanonize,,src/keyexpr.rs:271:25
c.z_view_keyexpr_from_slice_unchecked,,src/keyexpr.rs:345:25
c.z_view_keyexpr_loan,,src/keyexpr.rs:154:18
c.z_view_keyexpr_new,,src/keyexpr.rs:300:25
c.z_view_keyexpr_new_autocanonize,,src/keyexpr.rs:318:25
c.z_view_keyexpr_null,,src/keyexpr.rs:51:18
c.z_view_keyexpr_t,,src/keyexpr.rs:40:29;src/opaque_types/mod.rs:229:11
c.z_view_keyexpr_unchecked,,src/keyexpr.rs:368:25
c.z_view_slice_check,,src/collections.rs:177:18
c.z_view_slice_empty,,src/collections.rs:132:18
c.z_view_slice_from_str,,src/collections.rs:141:25
c.z_view_slice_loan,,src/collections.rs:171:18
c.z_view_slice_t,,src/collections.rs:124:29;src/opaque_types/mod.rs:28:11
c.z_view_slice_wrap,,src/collections.rs:155:25
c.z_view_str_check,,src/collections.rs:281:18
c.z_view_str_empty,,src/collections.rs:299:25
c.z_view_str_loan,,src/collections.rs:318:18
c.z_view_str_null,,src/collections.rs:287:18
c.z_view_str_t,,src/collections.rs:254:29;src/opaque_types/mod.rs:46:11
c.z_view_str_wrap,,src/collections.rs:361:25
c.z_whatami_to_str,,src/scouting.rs:212:18
c.zc_config_from_file,,src/config.rs:234:25
c.zc_config_from_str,,src/config.rs:190:25
c.zc_config_get,,src/config.rs:125:25
c.zc_config_insert_json,,src/config.rs:156:25
c.zc_config_to_string,,src/config.rs:212:25
c.zc_init_logger,,src/lib.rs:73:18
c.zc_liveliness_declaration_options_default,,src/liveliness.rs:63:18
c.zc_liveliness_declaration_options_t,,src/liveliness.rs:58:11
c.zc_liveliness_declare_subscriber,,src/liveliness.rs:141:18
c.zc_liveliness_declare_subscriber_options_t,,src/liveliness.rs:115:11
c.zc_liveliness_declare_token,,src/liveliness.rs:76:18
c.zc_liveliness_get,,src/liveliness.rs:191:18
c.zc_liveliness_get_options_default,,src/liveliness.rs:181:18
c.zc_liveliness_get_options_t,,src/liveliness.rs:175:11
